Year,Fiction,Juvenile,Religion,Biography,Educational,Language,Geography,Medicine,Poetry and Drama,General Literature,Sociology,History,Technical,Law,Science,Fine Arts,Domestic Economy,Games,Humor,Philosophy,Agriculture,Business,Music,General Works,Military
1880,292,270,239,151,131,,115,114,111,106,99,72,63,62,56,44,43,32,30,22,,,24,,
1881,587,334,341,212,157,,164,190,169,128,86,108,78,76,89,57,38,21,35,27,,,23,71,
1882,767,278,326,184,221,,185,188,182,155,112,118,87,261,106,91,20,28,35,21,,,21,86,
1883,670,331,375,161,197,,155,211,184,158,106,119,146,397,90,75,22,22,47,15,,,,,
1884,943,358,380,178,227,,136,209,222,186,168,115,154,455,134,81,43,51,29,19,,,,,
1885,934,388,435,174,225,,161,188,171,148,163,137,100,431,92,140,30,70,18,25,,,,,
1886,1080,458,377,155,275,,159,177,220,388,174,182,112,469,148,151,46,70,17,18,,,,,
1887,1022,487,353,201,283,,180,171,221,251,143,157,123,438,76,175,61,48,26,21,,,,,
1888,874,410,482,247,413,,197,151,280,291,227,144,124,335,56,250,39,46,47,18,,,,,
1889,942,388,363,178,319,,139,157,171,144,157,110,129,410,96,171,44,43,25,28,,,,,
1890,1118,408,467,218,399,,162,117,168,183,183,153,133,458,93,135,29,82,42,11,,,,,
1891,1105,460,528,211,355,,139,108,193,251,197,124,106,348,97,228,71,79,26,39,,,,,
1892,1102,466,502,234,366,,192,155,259,192,236,165,128,374,121,201,61,44,31,33,,,,,
1893,1132,474,642,219,397,,191,150,244,324,212,152,126,430,123,135,64,60,30,29,,,,,
1894,729,344,468,161,442,,144,160,266,237,254,187,138,485,165,138,51,56,10,49,,,,,
1895,1114,375,506,180,488,,151,163,309,468,335,193,111,531,222,140,52,38,32,61,,,,,
1896,1114,319,460,209,469,,190,167,291,682,289,275,139,553,162,177,61,72,25,49,,,,,
1897,869,369,492,205,431,,169,153,247,415,196,238,110,509,188,139,57,43,22,76,,,,,
1898,905,373,446,195,377,,167,188,303,332,257,282,112,456,174,163,43,42,20,51,,,,,
1899,932,448,420,310,419,,218,153,333,346,238,268,123,489,204,214,58,48,27,73,,,,,
1900,1278,527,448,274,641,,192,218,400,543,269,257,153,543,184,167,76,51,34,101,,,,,
1901,2234,595,533,428,560,,220,292,448,720,257,283,197,540,292,216,65,70,46,114,,,,31,
1902,1797,514,639,385,579,,303,299,399,543,271,301,165,640,356,217,96,61,54,103,,,,111,
1903,1460,493,513,476,627,,253,354,446,669,246,480,131,605,431,176,116,81,74,103,,,,131,
1904,1821,419,717,437,628,,240,278,538,697,336,357,175,614,374,253,82,114,65,58,,,,88,
1905,1364,541,698,420,495,,250,356,598,749,342,368,196,561,446,272,127,125,62,50,,,,92,
1906,1171,613,621,426,519,,285,332,343,452,336,341,190,471,397,224,84,69,95,51,,,,119,
1907,1171,603,876,603,465,,482,461,697,644,521,415,351,707,706,323,162,97,104,163,,,,69,
1908,1489,461,816,528,375,,415,337,622,615,549,423,549,622,478,241,153,74,51,183,,,,273,
1909,1098,712,903,563,467,,474,756,671,1136,628,542,775,591,620,269,204,109,73,197,,,,113,
1910,1539,1010,943,645,523,,599,544,752,2042,784,565,857,678,711,345,332,145,49,265,,,,142,
1911,1024,734,917,695,300,192,598,527,685,919,653,442,706,682,624,196,95,103,,334,240,227,86,244,
1912,1010,546,916,581,254,294,504,495,636,524,867,524,674,862,695,243,110,132,,321,305,210,93,107,
1913,1156,622,944,681,324,335,558,600,679,733,977,538,781,692,790,264,145,194,,324,409,221,111,152,
1914,1053,633,1032,604,268,330,542,542,902,732,1038,581,669,507,677,310,135,194,,408,371,229,112,141,
1915,919,594,800,548,237,293,483,425,741,409,726,758,463,255,550,226,137,109,,338,285,252,72,114,
1916,932,670,755,469,324,259,354,516,860,461,767,754,595,274,539,238,157,127,,322,383,272,113,110,94
1917,922,504,798,443,286,296,199,450,695,376,902,768,507,216,708,143,171,117,,336,442,280,86,77,338
1918,788,504,695,347,317,319,184,399,639,253,721,922,419,249,639,107,162,70,,279,485,277,81,64,317
1919,904,433,695,265,244,250,146,401,500,339,846,812,507,204,586,98,98,64,,266,407,337,63,49,80
1920,1154,499,665,314,234,244,222,290,558,351,759,711,535,166,512,130,49,112,,274,290,246,72,35,
1921,972,576,595,362,216,241,328,299,512,409,622,572,562,191,673,195,63,87,,269,169,267,75,74,
1922,1098,544,730,398,209,240,309,298,680,424,648,518,506,190,562,138,60,109,,356,112,282,60,67,
1923,1080,560,710,438,271,248,331,324,677,439,593,489,472,151,708,157,53,146,,363,185,304,78,86,
1924,1226,538,809,518,246,187,445,315,731,431,521,502,471,111,645,189,59,138,,272,218,336,58,46,
1925,1431,557,885,561,248,260,438,326,800,419,597,459,481,187,670,175,53,150,,276,168,286,89,58,
1926,1531,596,933,551,291,214,431,334,886,447,544,555,438,144,568,225,74,150,,298,262,296,175,79,
1927,1763,751,879,625,270,227,384,347,991,502,611,554,339,118,454,220,66,144,,262,188,266,120,72,
